N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"X-017";"Topilarsa";"ARSA S R L S. R. L.";"Propio";
"X-031";"CACO DELTA";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"X-054";"Potenpet";"HOLLIDAY SCOTT S A";"Propio";
"X-056";"OXITETRACICLINA POLVO SOLUBLE";"HOLLIDAY SCOTT S A";"Propio";
"00-001";"PODOCUR ANTIPIETIN";"HYPRED ARGENTINA S A";"Propio";
"00-002";"Ioderm PSP";"HYPRED ARGENTINA S A";"Propio";
"00-004";"CEFALEXINA RUMINAL";"RUMINAL  S.A.";"Propio";
"00-005";"LARVICIDA (CIROMAZINA) BROUWER";"BROUWER SA";"Propio";
"00-016";"COLIRIO PARA EL TRATAMIENTO DE LA QUERATOCONJUNTIVITIS PROAGRO";"PROAGRO SA";"Propio";
"00-022";"CDVAC FEEDLOT";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-026";"ANTIBACTERIANO SIN ESTEROIDES LOVE";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"00-031";"Fen-Oral";"PRO SER SA";"Propio";
"00-032";"ISOXUPRINA WK";"EQUI SYSTEMS SRL";"Propio";
"00-035";"Fenil T 300";"AGREED LABORATORIOS S A";"Propio";
"00-041";"Galgosantel Oral 15";"BIOGENESIS BAGO S.A.";"Propio";
"00-042";"INADRIM GOTAS";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-044";"Ceftiofur LPU Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-044";"CEFTIOGEN 5";"CESINI SILVIO GERMAN";"Extensión";
"00-046";"RUMEX 800 CONCENTRADO";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-048";"Dexametasona L.A. Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-049";"Novantel Secado";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-050";"Dominal Spray";"LABORATORIOS KONIG S A";"Propio";
"00-051";"VACUNA ANTI-CLOSTRIDIAL POLIVALENTE";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-056";"URFAMYCIN VET";"VON FRANKEN S A I C";"Propio";
"00-059";"REVOLUTION (SELAMECTINA 6%)";"ZOETIS ARGENTINA S R L";"Propio";
"00-060";"REVOLUTION (SELAMECTINA 12%)";"ZOETIS ARGENTINA S R L";"Propio";
"00-062";"CDVAC QUERATO";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-063";"CDVAC LEPTOSPIROSIS";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-065";"GASTROGARD (OMEPRAZOL)";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-072";"EMPLASTO CICATRIZANTE R.J.";"ALLIGNANI HERMANOS S R L";"Propio";
"00-074";"INCURIN";"INTERVET ARGENTINA SA";"Propio";
"00-078";"FLORAVIN";"LABORATORIOS AVIAR S A";"Propio";
"00-080";"Nopican";"KW SRL";"Extensión";
"00-080";"VETUECAN";"LABORATORIO VETUE SRL";"Propio";
"00-081";"VETIL";"VON FRANKEN S A I C";"Propio";
"00-083";"FLUNIXIN PHARMAVET";"PHARMAVET SA";"Propio";
"00-084";"INADRIM INYECTABLE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-086";"AZITROMICINA LABYES";"LABYES S A";"Propio";
"00-090";"TETRA VETUE";"LABORATORIO VETUE SRL";"Propio";
"00-092";"IBR QUERATO VETUE";"LABORATORIO VETUE SRL";"Propio";
"00-093";"TENSOLAC SELLADOR TEAT-DIP-TA-2500";"TENSOLAC SA";"Propio";
"00-094";"Tensolac Sellador de barrera";"TENSOLAC SA";"Propio";
"00-095";"TENSOLAC SELLADOR TEAT-DIP-5000";"TENSOLAC SA";"Propio";
"00-096";"TENSOLAC SELLADOR SPRAY TA-10000";"TENSOLAC SA";"Propio";
"00-097";"DERMISAN";"HYPRED ARGENTINA S A";"Propio";
"00-098";"Furosemide 5% Alfasan";"ALLIGNANI HERMANOS S R L";"Propio";
"00-099";"Fenibutazona 20% Alfasan";"ALLIGNANI HERMANOS S R L";"Propio";
